"weekly_self_study_hours","total_score"
"27","604"
"47","693"
"13","635"
"3","569"
"10","548"
"26","617"
"23","637"
"34","631"
"25","619"
"18","584"
"7","570"
"7","552"
"4","560"
"2","602"
"39","709"
"0","565"
"30","655"
"28","648"
"37","714"
"27","647"
"15","665"
"4","603"
"2","566"
"1","538"
"35","723"
"22","705"
"34","690"
"23","658"
"17","634"
"19","607"
"14","667"
"30","650"
"30","676"
"24","667"
"31","677"
"21","617"
"19","732"
"29","741"
"21","655"
"18","652"
"31","696"
"4","565"
"3","704"
"3","708"
"3","621"
"5","589"
"27","719"
"28","686"
"32","691"
"14","681"
"16","715"
"24","682"
"0","597"
"32","737"
"3","675"
"31","719"
"21","681"
"18","726"
"26","756"
"23","782"
"1","702"
"33","746"
"2","626"
"34","731"
"18","711"
"2","698"
"27","671"
"8","692"
"14","679"
"22","780"
"15","736"
"22","761"
"1","638"
"3","642"
"20","728"
"27","837"
"24","747"
"5","731"
"34","730"
"16","759"
"3","694"
"15","718"
"11","705"
"32","809"
"28","703"
"24","712"
"9","739"
"14","772"
"16","806"
"29","733"
"14","705"
"10","753"
"31","808"
"34","792"
"3","762"
"34","837"
"2","770"
"4","736"
"28","821"
"5","837"
"4","763"
"25","779"
"29","801"
"1","747"
"2","795"
"0","787"
"16","862"
"31","821"
"4","775"
"13","749"
"24","832"
"2","677"
"4","763"
"22","776"
"0","761"
"24","701"
"1","733"
"19","755"
"19","789"
"5","711"
"13","823"
"26","899"
"41","855"
"47","892"
"9","694"
"7","808"
"3","740"
"14","758"
"26","825"
"27","769"
"25","865"
"16","807"
"27","830"
"0","716"
"3","844"
"6","718"
"12","814"
"11","752"
"23","895"
"23","879"
"16","840"
"3","852"
"29","893"
"18","861"
"3","842"
"6","865"
"2","798"
"34","777"
"22","783"
"4","821"
"3","809"
"2","778"
"18","870"
"8","814"
"33","904"
"13","867"
"17","881"
"1","805"
"3","768"
"33","884"
"12","712"
"24","888"
"33","977"
"44","1010"
"15","895"
"5","922"
"5","828"
"22","891"
"9","909"
"34","934"
"34","944"
"25","894"
"31","906"
"33","907"
"3","795"
"20","928"
"15","915"
"26","903"
"35","961"
"12","773"
"5","891"
"31","881"
"28","959"
"5","892"
"33","834"
"2","900"
"9","935"
"0","891"
"26","918"
"30","1025"
"1","876"
"26","854"
"2","943"
"9","858"
"30","955"
"24","904"
"21","924"
"14","928"
"24","988"
"34","948"
"34","839"
"27","931"
"16","890"
"21","829"
"1","999"
"17","860"
"0","988"
"12","947"
"22","818"
"14","944"
"41","1004"
"32","961"
"4","906"
"22","958"
"17","846"
"2","994"
"33","1029"
"29","880"
"27","952"
"34","1005"
"2","907"
"22","1026"
"33","996"
"17","974"
"4","915"
"3","948"
"3","988"
"17","994"
"6","1029"
"9","819"
"35","1096"
"17","1040"
"7","1054"
"16","1059"
"20","1029"
"0","908"
"27","1034"
"24","1023"
"30","1034"
"20","1020"
"27","1076"
"2","811"
"16","949"
"27","1015"
"24","1032"
"23","960"
"15","1030"
"25","1087"
"32","1050"
"35","1126"
"3","1067"
"28","1031"
"3","1005"
"21","1010"
"35","1118"
"35","1145"
"14","963"
"1","968"
"0","977"
"12","1020"
"35","1030"
"2","1015"
"16","983"
"31","1097"
"4","842"
"19","1091"
"15","1005"
"30","1075"
"17","1111"
"23","1048"
"3","1033"
"4","946"
"25","1096"
"1","801"
"24","1000"
"15","1064"
"1","1093"
"33","1103"
"11","979"
"10","1099"
"15","1112"
"34","1159"
"30","946"
"4","1102"
"28","1135"
"29","978"
"30","1148"
"31","1020"
"1","991"
"16","906"
"18","913"
"4","1113"
"32","1119"
"12","950"
"5","1020"
"15","1092"
"31","874"
"2","1047"
"2","1082"
"20","1116"
"11","1070"
"26","1156"
"22","1134"
"12","854"
"4","1020"
"34","1099"
"9","851"
"43","1040"
"1","942"
"19","1072"
"2","1046"
"34","1035"
"31","1039"
"11","1184"
"35","1215"
"20","925"
"22","993"
"2","1187"
"1","1096"
"34","1170"
"17","1157"
"34","1007"
"25","1135"
"8","1012"
"4","1104"
"26","953"
"13","1177"
"4","1146"
"27","1089"
"32","1138"
"25","1055"
"13","957"
"31","1014"
"8","1178"
"0","875"
