id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Total_Score,Performance_Category
1,0,0,0,0,False,3,False,27,0,73,81,93,97,63,80,87,604,High
2,1,1,1,1,False,2,False,47,1,90,86,96,100,90,88,90,693,High
3,2,2,2,1,False,9,True,13,2,81,97,95,96,65,77,94,635,High
4,3,3,3,1,False,5,False,3,3,71,74,88,80,89,63,86,569,Medium
5,4,4,4,0,False,5,False,10,4,84,77,65,65,80,74,76,548,Medium
6,5,5,5,1,False,2,False,26,4,93,100,67,78,72,80,84,617,High
7,4,6,6,0,False,3,True,23,5,99,96,97,73,88,76,64,637,High
8,6,7,7,0,True,2,True,34,5,95,95,82,63,84,70,85,631,High
9,7,8,8,0,False,6,False,25,4,94,68,94,85,81,74,72,619,High
10,8,9,9,1,False,3,True,18,6,98,69,88,71,67,71,73,584,Medium
11,9,10,10,1,False,2,False,7,6,65,60,97,94,71,81,66,570,Medium
12,10,11,11,0,False,1,False,7,4,80,61,100,65,87,64,61,552,Medium
13,11,12,12,1,True,7,False,4,7,94,59,69,67,89,65,73,560,Medium
14,12,13,13,1,False,10,False,2,7,66,94,86,100,57,90,63,602,High
15,13,13,14,1,False,3,False,39,1,96,90,86,92,92,95,87,709,High
16,14,14,15,0,False,6,False,0,7,94,50,78,64,79,74,84,565,Medium
17,15,15,16,1,False,3,True,30,8,92,64,93,91,80,89,72,655,High
18,16,16,17,0,False,2,True,28,5,86,83,85,79,93,76,77,648,High
19,17,17,18,0,False,1,False,37,1,92,87,92,99,97,87,86,714,High
20,18,18,19,1,False,2,False,27,5,99,65,98,75,66,72,100,647,High
21,19,19,20,0,True,3,False,15,5,100,90,72,98,73,97,72,665,High
22,20,20,21,0,False,8,False,4,7,57,55,78,94,83,88,88,603,High
23,21,9,22,1,False,9,False,2,7,89,72,68,72,71,54,90,566,Medium
24,22,21,23,0,False,9,False,1,7,50,76,81,55,56,80,79,538,Medium
25,23,22,24,1,False,4,False,35,5,87,91,90,88,95,88,93,723,High
26,11,23,25,1,False,5,False,22,1,92,86,87,81,93,90,99,705,High
27,24,24,26,0,False,3,False,34,9,100,77,80,94,63,90,90,690,High
28,25,25,27,0,False,0,False,23,10,64,75,93,79,81,96,85,658,High
29,26,26,28,0,False,1,True,17,11,79,65,99,71,76,77,83,634,High
30,27,27,29,1,False,3,False,19,11,82,100,61,97,30,74,73,607,High
31,28,28,30,1,False,0,False,14,5,88,69,87,100,88,85,72,667,High
32,29,29,31,1,False,4,False,30,12,70,68,92,74,82,85,72,650,High
33,30,30,32,0,False,4,False,30,11,77,96,98,89,85,62,62,676,High
34,31,31,33,1,False,1,False,24,9,99,84,84,78,78,77,68,667,High
35,32,32,34,1,False,3,True,31,4,90,93,91,80,86,69,62,677,High
36,5,33,35,1,False,1,False,21,4,65,70,78,98,80,66,65,617,High
37,33,34,36,0,False,2,True,19,13,99,94,87,71,89,91,96,732,High
38,34,35,37,0,False,1,False,29,13,92,100,85,89,81,91,88,741,High
39,35,36,38,0,False,4,False,21,9,77,64,64,88,94,82,78,655,High
40,36,37,39,0,False,4,False,18,11,92,60,66,87,60,83,95,652,High
41,37,38,40,1,False,4,False,31,5,85,97,64,90,79,81,81,696,High
